wallet,tx_hash,value,from,to,success,timestamp
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xc80de575c73ea4b24003e707dc4bf87366513c810c45ea4ca54c305bfb9243df,3.21995591895,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,True,1567377537
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x91eca71cbba170f534e47495627518b95ae758d376eef7807c05122282aaab28,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xf5dce57282a584d2746faf1593d3121fcac444dc,True,1570225452
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x769dfc4da7b63c605b75aa1b442e4d2aba8cdaf5984e46e532a802d76c24e8ea,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xf5dce57282a584d2746faf1593d3121fcac444dc,True,1571499111
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xb28aadc64215c6b466ac3b8b6677f669cf44353339a9082a176772a57ff8adfb,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,True,1571503587
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x73204e466d04f69cc0e7f9bc48670fa2ae4d16a1fc5fee94a55ca5cf0fff46c7,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xf5dce57282a584d2746faf1593d3121fcac444dc,True,1571794082
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xa994a4e027151945ce3b14d6f31c97701598ddb5fe418c83a5b178d0b98500e0,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,True,1571794331
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x72ff3dc24efcb60391370ebd0e44d15209bb76178af3c5e5cffd5fb8069c1bad,0.0225311304,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x8368394d997ce3abfe1831509441adee16153d9a,True,1571794913
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xc3c69e10bbe1ed1719879850fb059b9adcb32c6be173e52bc84e3383f2f5cbb8,0.975,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,True,1572199522
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x5abbd9b405119fa49d540776a0eaa12421f6e372d2b38b75d6ec4647aeb1bd7c,1.5,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,True,1573409516
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xc4dd13821bbab177b708a771bcb43142c0e0a57269d2db0b21557cb60efea220,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,True,1574807051
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x54eddbd25439b79d6be512ba4b2ec961442c204a02d450b10b2636a0f4a3d444,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x6b175474e89094c44da98b954eedeac495271d0f,True,1576277069
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x9cb497a5034a3ddc790c40196eb567481be83c55219726eb9890751d0be95a77,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,True,1576277138
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xe19ecf9c2d09a0f89a26b73609799678f6237bacc4c78f82f70898f8722e284c,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,True,1576277186
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xb1be56b074087acc9ad5ba5c37450eddbb2587d26b71fa9e1f1836dc5a179cd9,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x6b175474e89094c44da98b954eedeac495271d0f,False,1576277395
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x1fb10e8ad30e07c073f0ae162934d339c1bde87414cfab247577d9d1eb12d62a,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x6b175474e89094c44da98b954eedeac495271d0f,True,1576277518
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xd86489532cb16fc4f8febe2aa7d95bf48bee793c087fe383af70e1668f17e337,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x6b175474e89094c44da98b954eedeac495271d0f,False,1576277807
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x6e55034612eaddb2581e34290cc660a934995b427a164d65d77ac424628354a7,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x6b175474e89094c44da98b954eedeac495271d0f,False,1576277843
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x47b8beddcef629fe6340456f2d733d78fd18b7823781606357d6eb39c5e67c9c,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x6b175474e89094c44da98b954eedeac495271d0f,True,1576278307
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xb886d1b3c83ffa4a9ccd86996f6883f04792a6cb7ecb6f3b27d8450d860503da,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,True,1576604609
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xa6abe5bbcde89f11760767234dcbe63737473673cc5132af53cee67ced37364e,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x6b175474e89094c44da98b954eedeac495271d0f,False,1576604767
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x6529738f301852b8615e99f6741ab0cd77c296a8e43fef956840e30d1a0f61bc,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x6b175474e89094c44da98b954eedeac495271d0f,False,1576604909
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x93f2e9e2146438a542b857c51fcf31fecb29a587f63084ee0aea47dbf26de547,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x6b175474e89094c44da98b954eedeac495271d0f,False,1576604977
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x9550d64a7fbdd5577bbb6ab983908e8df17de49a67a43f1bf82448e8a5a74fd5,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x6b175474e89094c44da98b954eedeac495271d0f,False,1576605080
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xab514e0e62cf021bddbe25d89f2c7e43efefda0bac6038ccea481116811ada90,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x6b175474e89094c44da98b954eedeac495271d0f,False,1576605121
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xa969ef395281257ef0610f7b6b823de751178f6fb0de2323aeec1dba8d36eb44,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x6b175474e89094c44da98b954eedeac495271d0f,False,1576605262
